key,n_features,missing_rate,prop_latent,snr,masking,prop_for_masking,iter,method,train_test,n,mse,r2,early_stopping,residual_connection,depth,n_epochs,lr,batch_size,type_width,width,verbose,learning_rate,learning_rate_init,max_iter,validation_fraction,mlp_depth
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,test,10000,10.68402124813711,0.8171963305351397,False,False,0.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,val,10000,10.655484282032749,0.8186454255639695,False,False,0.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,train,10000,10.603703185035682,0.8220187438842288,True,False,0.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,test,10000,11.203739250136325,0.8083039523148169,True,False,0.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,val,10000,11.072092179888752,0.8115548282694135,True,False,0.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,train,10000,10.126631780044313,0.8300263018510632,False,True,0.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,test,10000,10.770454929733145,0.8157174497098263,False,True,0.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,val,10000,10.644587230249975,0.8188308915771852,False,True,0.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,train,10000,10.143339581617997,0.8297458643983049,True,True,0.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,test,10000,10.720870319010485,0.8165658427051761,True,True,0.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,val,10000,10.667948503703329,0.8184332865793007,True,True,0.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,train,10000,9.238426706096584,0.8449346647117582,False,False,1.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,test,10000,9.832164891213406,0.8317715980571669,False,False,1.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,val,10000,9.853420076913814,0.8322964252501113,False,False,1.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,train,10000,9.21408633863396,0.8453432134140106,True,False,1.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,test,10000,9.795604331345594,0.8323971494620457,True,False,1.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,val,10000,9.834753112786363,0.8326141338821866,True,False,1.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,train,10000,9.222724816646167,0.8451982181099446,False,True,1.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,test,10000,9.8733082578195,0.8310676348007251,False,True,1.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,val,10000,9.899091206226347,0.8315191102073352,False,True,1.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,train,10000,9.552910631364394,0.8396561084309323,True,True,1.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,test,10000,10.112815995039337,0.8269696559393815,True,True,1.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,val,10000,10.16123719923792,0.8270574289036624,True,True,1.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,train,10000,8.868190213216288,0.8511490178403639,False,False,2.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,test,10000,9.675831887513844,0.8344464567148775,False,False,2.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,val,10000,9.791360955891456,0.8333526611925602,False,False,2.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,train,10000,9.002905690122082,0.8488878427226214,True,False,2.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,test,10000,9.640831843425225,0.8350453076851474,True,False,2.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,val,10000,9.687965834621043,0.8351124290004276,True,False,2.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,train,10000,9.017533774821612,0.8486423129445847,False,True,2.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,test,10000,9.717552735970937,0.8337326127404027,False,True,2.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,val,10000,9.758515676722189,0.8339116823940667,False,True,2.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,train,10000,8.87131572902379,0.8510965566181171,True,True,2.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,test,10000,9.635385572851906,0.8351384934082547,True,True,2.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,val,10000,9.690980089947118,0.8350611268749274,True,True,2.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,train,10000,9.168009607808209,0.8461166030767512,False,False,3.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,test,10000,9.973809117648326,0.8293480644690687,False,False,3.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,val,10000,10.054273995346337,0.828877924885697,False,False,3.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,train,10000,9.045739478451578,0.8481688852680371,True,False,3.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,test,10000,9.777195377015769,0.8327121267841929,True,False,3.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,val,10000,9.870983756627744,0.8319974943356879,True,False,3.0,100.0,0.001,10.0,,,False,,,,,
