key,n_features,missing_rate,prop_latent,snr,masking,iter,method,train_test,n,mse,r2,early_stopping,residual_connection,depth,n_epochs,lr,batch_size,type_width,width,verbose,learning_rate,learning_rate_init,max_iter,validation_fraction,mlp_depth
0,10,0.5,0.5,10,MCAR,0,Neumann,train,10000,11.63761135528789,0.8046647806848877,False,False,1.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MCAR,0,Neumann,test,10000,12.449244659317674,0.7869933470802586,False,False,1.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MCAR,0,Neumann,val,10000,12.200559353817315,0.7923485042135534,False,False,1.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MCAR,0,Neumann,train,10000,11.827893818786523,0.8014709236634949,True,False,1.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MCAR,0,Neumann,test,10000,12.649978746043171,0.7835587856180659,True,False,1.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MCAR,0,Neumann,val,10000,12.393122401257521,0.7890711130977399,True,False,1.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MCAR,0,Neumann,train,10000,11.717163526191026,0.8033295117644922,False,True,1.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MCAR,0,Neumann,test,10000,12.490733038678114,0.7862834806534615,False,True,1.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MCAR,0,Neumann,val,10000,12.331921655376242,0.7901127396377164,False,True,1.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MCAR,0,Neumann,train,10000,11.48721471447208,0.8071891613263381,True,True,1.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MCAR,0,Neumann,test,10000,12.215324700836572,0.7909957190129117,True,True,1.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MCAR,0,Neumann,val,10000,12.051915922485648,0.7948783907506975,True,True,1.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MCAR,0,Neumann,train,10000,10.862732234700566,0.8176709877441954,False,False,2.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MCAR,0,Neumann,test,10000,11.900156889689198,0.7963882422058989,False,False,2.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MCAR,0,Neumann,val,10000,11.592691166621304,0.8026943198972216,False,False,2.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MCAR,0,Neumann,train,10000,11.007948010518046,0.8152335669925193,True,False,2.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MCAR,0,Neumann,test,10000,12.143226690451144,0.7922293164153756,True,False,2.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MCAR,0,Neumann,val,10000,11.972950244105778,0.7962223734940986,True,False,2.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MCAR,0,Neumann,train,10000,10.983058659151643,0.8156513302911328,False,True,2.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MCAR,0,Neumann,test,10000,11.987846836717777,0.7948878666712846,False,True,2.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MCAR,0,Neumann,val,10000,11.757210066873672,0.7998942355132334,False,True,2.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MCAR,0,Neumann,train,10000,10.943977532740144,0.8163072999884885,True,True,2.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MCAR,0,Neumann,test,10000,11.93147369992359,0.7958524113895965,True,True,2.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MCAR,0,Neumann,val,10000,11.74608354438046,0.8000836070798651,True,True,2.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MCAR,0,Neumann,train,10000,10.58923295427209,0.8222616241122631,False,False,3.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MCAR,0,Neumann,test,10000,11.82650947174496,0.7976483499812523,False,False,3.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MCAR,0,Neumann,val,10000,11.537023497967585,0.8036417743808779,False,False,3.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MCAR,0,Neumann,train,10000,10.559476447914973,0.8227610817344391,True,False,3.0,100.0,0.001,10.0,,,False,,,,,
