key,n_features,missing_rate,prop_latent,sm_type,sm_param,snr,perm,iter,method,train_test,n,mse,r2,early_stopping,residual_connection,depth,n_epochs,lr,batch_size,type_width,width,verbose,learning_rate,learning_rate_init,max_iter,validation_fraction,mlp_depth
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,test,10000,11.717670918201003,0.799682385027399,True,False,0.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,val,10000,11.597453755123539,0.80277733274301,True,False,0.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,train,10000,12.086256634390008,0.7972966284541397,False,True,0.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,test,10000,11.99979826289627,0.7948593210241144,False,True,0.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,val,10000,11.791436473286213,0.7994785233762642,False,True,0.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,train,10000,11.865552512013936,0.8009981442396316,True,True,0.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,test,10000,11.709822029330175,0.7998165644824942,True,True,0.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,val,10000,11.605917807556386,0.8026333957175339,True,True,0.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,train,10000,10.590801730884895,0.8223774917938064,False,False,1.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,test,10000,10.578045919906664,0.8191646663796496,False,False,1.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,val,10000,10.521353531657304,0.8210771562033186,False,False,1.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,train,10000,10.677581533129256,0.8209220735423882,True,False,1.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,test,10000,10.7041375191395,0.8170090871179748,True,False,1.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,val,10000,10.64727672303171,0.8189357458388754,True,False,1.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,train,10000,10.734927609144481,0.8199602999093399,False,True,1.0,100.0,0.001,10.0,,,False,,,,,
