,iter,method,train_test,r2,depth
275,5,Neumann_res,train,0.7804658692744834,0.0
276,5,Neumann_res,test,0.7802114823178667,0.0
277,5,Neumann,train,0.772246330227703,0.0
278,5,Neumann,test,0.7726690743504461,0.0
279,5,Neumann_res,train,0.8107639107683,1.0
280,5,Neumann_res,test,0.8087383494414482,1.0
281,5,Neumann,train,0.8085972936217897,1.0
282,5,Neumann,test,0.8065150187109213,1.0
283,5,Neumann_res,train,0.8246770295090196,2.0
284,5,Neumann_res,test,0.8205924188927746,2.0
285,5,Neumann,train,0.8248625204838455,2.0
286,5,Neumann,test,0.8209877591911884,2.0
287,5,Neumann_res,train,0.8310598232245108,3.0
288,5,Neumann_res,test,0.8255431831705538,3.0
289,5,Neumann,train,0.8321972086839291,3.0
290,5,Neumann,test,0.8263224755678076,3.0
291,5,Neumann_res,train,0.8366805952916536,4.0
292,5,Neumann_res,test,0.8297195581498478,4.0
293,5,Neumann,train,0.8367677387567574,4.0
294,5,Neumann,test,0.8299339116993498,4.0
295,5,Neumann_res,train,0.8373455145155955,5.0
296,5,Neumann_res,test,0.829276510859051,5.0
297,5,Neumann,train,0.8395842481431895,5.0
298,5,Neumann,test,0.8299562263354172,5.0
299,5,Neumann_res,train,0.8409560657909121,6.0
300,5,Neumann_res,test,0.8303200675590977,6.0
301,5,Neumann,train,0.8414174856664045,6.0
302,5,Neumann,test,0.8305044549373805,6.0
303,5,Neumann_res,train,0.8416300570030371,7.0
304,5,Neumann_res,test,0.8295506732158149,7.0
305,5,Neumann,train,0.843020005834209,7.0
306,5,Neumann,test,0.8296493441079271,7.0
307,5,Neumann_res,train,0.8434741750670305,8.0
308,5,Neumann_res,test,0.8294450251475924,8.0
309,5,Neumann,train,0.8447556837361283,8.0
310,5,Neumann,test,0.8295789691948794,8.0
311,5,Neumann_res,train,0.8442572411016428,9.0
312,5,Neumann_res,test,0.8302282417683646,9.0
313,5,Neumann,train,0.8459174894544234,9.0
314,5,Neumann,test,0.8298287091658876,9.0
315,5,Neumann_analytic,,0.6943914515684965,0.0
316,5,Neumann_analytic,,0.7335876537608038,1.0
317,5,Neumann_analytic,,0.754888491913309,2.0
318,5,Neumann_analytic,,0.7687023216884847,3.0
319,5,Neumann_analytic,,0.778572534794358,4.0
320,5,Neumann_analytic,,0.7860755394369183,5.0
321,5,Neumann_analytic,,0.8074752550154218,10.0
322,5,Neumann_analytic,,0.8180626424742361,15.0
323,5,Neumann_analytic,,0.8245120514224953,20.0
324,5,Neumann_analytic,,0.8320178416036836,30.0
325,5,Neumann_analytic,,0.8362455512461859,40.0
326,5,Neumann_analytic,,0.8389464599026477,50.0
327,5,Neumann_analytic,,0.844649895021469,100.0
328,5,Bayes_rate,train,0.844649895021469,
329,5,Bayes_rate,test,0.844649895021469,
330,6,Neumann_res,train,0.7850281684149609,0.0
331,6,Neumann_res,test,0.7813873406610781,0.0
332,6,Neumann,train,0.7804812949990608,0.0
333,6,Neumann,test,0.7766501362960614,0.0
334,6,Neumann_res,train,0.809317977528411,1.0
335,6,Neumann_res,test,0.8044797611245195,1.0
336,6,Neumann,train,0.8082985859572621,1.0
337,6,Neumann,test,0.8029186650613848,1.0
338,6,Neumann_res,train,0.8262971889592311,2.0
339,6,Neumann_res,test,0.8205224583313995,2.0
340,6,Neumann,train,0.8290117368822242,2.0
341,6,Neumann,test,0.8236615148686897,2.0
342,6,Neumann_res,train,0.8335959926288926,3.0
343,6,Neumann_res,test,0.8268086468692456,3.0
344,6,Neumann,train,0.8351576543842361,3.0
345,6,Neumann,test,0.8284256283777196,3.0
346,6,Neumann_res,train,0.8390864569768252,4.0
347,6,Neumann_res,test,0.8316616019295507,4.0
348,6,Neumann,train,0.8385557619219628,4.0
349,6,Neumann,test,0.830705330754498,4.0
350,6,Neumann_res,train,0.8396339895841469,5.0
351,6,Neumann_res,test,0.8302873967860429,5.0
352,6,Neumann,train,0.841368916808244,5.0
353,6,Neumann,test,0.8309731869769361,5.0
354,6,Neumann_res,train,0.8432130547814625,6.0
355,6,Neumann_res,test,0.8321716044967991,6.0
356,6,Neumann,train,0.8439785076642005,6.0
357,6,Neumann,test,0.8317306548630656,6.0
358,6,Neumann_res,train,0.8441646696932916,7.0
359,6,Neumann_res,test,0.8319925616340278,7.0
360,6,Neumann,train,0.845552243298594,7.0
361,6,Neumann,test,0.8305490806351226,7.0
